(0, 0, {'colsample_bytree': 0.7488135039273247, 'learning_rate': 0.35859468318620974, 'max_bin': 128, 'max_depth': 5, 'n_estimators': 5000, 'reg_alpha': 2.5417552163523762, 'reg_lambda': 1.870691090357917}, -0.6774912394170786, 4.328481197357178)
(0, 1, {'colsample_bytree': 0.5843817072926998, 'learning_rate': 0.14976730327223614, 'max_bin': 16, 'max_depth': 2, 'n_estimators': 100, 'reg_alpha': 1.150324556477333, 'reg_lambda': 2.3751751142479938}, -2.8356594896392417, 0.04940438270568848)
(0, 2, {'colsample_bytree': 0.7288949197529044, 'learning_rate': 0.28502228054696616, 'max_bin': 512, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 1.0121884812518052, 'reg_lambda': 1.9445156161535917}, -0.6369748745380179, 0.6936330795288086)
(0, 3, {'colsample_bytree': 0.568241539840548, 'learning_rate': 0.4795775794765232, 'max_bin': 16, 'max_depth': 4, 'n_estimators': 5000, 'reg_alpha': 2.397475692650171, 'reg_lambda': 1.3844380867587955}, -1.196294935100709, 3.369643211364746)
(0, 4, {'colsample_bytree': 0.9805291762864554, 'learning_rate': 0.06013721293446661, 'max_bin': 16, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 1.6121196883470321, 'reg_lambda': 2.2758468729670716}, -1.393044783200918, 0.4656984806060791)
(0, 5, {'colsample_bytree': 0.30590760718779214, 'learning_rate': 0.2378002096733287, 'max_bin': 1024, 'max_depth': 5, 'n_estimators': 2000, 'reg_alpha': 1.3684509966496456, 'reg_lambda': 1.7053018466059455}, -0.7174916735577771, 2.16001296043396)
(0, 6, {'colsample_bytree': 0.21878980043635515, 'learning_rate': 0.30981774853793853, 'max_bin': 1024, 'max_depth': 2, 'n_estimators': 100, 'reg_alpha': 1.159466943377586, 'reg_lambda': 2.707795426588214}, -2.6466291061470106, 0.049386024475097656)
(0, 7, {'colsample_bytree': 0.6499499899112275, 'learning_rate': 0.3075317289420662, 'max_bin': 32, 'max_depth': 3, 'n_estimators': 5000, 'reg_alpha': 0.1806764148878095, 'reg_lambda': 2.000300146337003}, -0.7925420240740128, 2.352243423461914)
(0, 8, {'colsample_bytree': 0.8706378696181594, 'learning_rate': 0.10619128053692045, 'max_bin': 128, 'max_depth': 2, 'n_estimators': 2000, 'reg_alpha': 1.8234920061464033, 'reg_lambda': 0.9751416870250574}, -0.7162214107947856, 0.7820742130279541)
(0, 9, {'colsample_bytree': 0.23842542647273474, 'learning_rate': 0.3181370289786675, 'max_bin': 1024, 'max_depth': 6, 'n_estimators': 5000, 'reg_alpha': 0.6266302682845041, 'reg_lambda': 0.48392855365498877}, -1.0413138970629563, 5.641688346862793)
(0, 10, {'colsample_bytree': 0.8531083254653984, 'learning_rate': 0.12764580126989106, 'max_bin': 256, 'max_depth': 5, 'n_estimators': 2000, 'reg_alpha': 0.47690875093655916, 'reg_lambda': 0.3311254234929154}, -0.6270162851819975, 1.919299840927124)
(0, 11, {'colsample_bytree': 0.8563295894652734, 'learning_rate': 0.0700914756743069, 'max_bin': 32, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 1.9875806008501327, 'reg_lambda': 0.0407149068363295}, -1.018004821471869, 0.08294057846069336)
(0, 12, {'colsample_bytree': 0.8228460955466694, 'learning_rate': 0.3378298154178947, 'max_bin': 16, 'max_depth': 5, 'n_estimators': 2000, 'reg_alpha': 1.5288731301597003, 'reg_lambda': 0.16714408110481893}, -1.157256895005738, 1.5324921607971191)
(0, 13, {'colsample_bytree': 0.6511592145209282, 'learning_rate': 0.01099383270437937, 'max_bin': 64, 'max_depth': 4, 'n_estimators': 5000, 'reg_alpha': 0.3605896836395067, 'reg_lambda': 0.8884205925664348}, -0.6448425981608993, 3.700533628463745)
(0, 14, {'colsample_bytree': 0.31872771895424407, 'learning_rate': 0.159991589696988, 'max_bin': 128, 'max_depth': 5, 'n_estimators': 5000, 'reg_alpha': 2.0774163581100593, 'reg_lambda': 1.6998043626197255}, -0.7677391468937589, 4.246702432632446)
(0, 15, {'colsample_bytree': 0.4653894909394454, 'learning_rate': 0.26262402673334984, 'max_bin': 32, 'max_depth': 4, 'n_estimators': 1000, 'reg_alpha': 0.24933747789180716, 'reg_lambda': 0.8331556838430973}, -0.7711324316553378, 0.6265721321105957)
(0, 16, {'colsample_bytree': 0.20935670485653263, 'learning_rate': 0.4221710398338655, 'max_bin': 16, 'max_depth': 2, 'n_estimators': 2000, 'reg_alpha': 0.8682182788416033, 'reg_lambda': 0.5495740860213505}, -3.1434410531338277, 0.6797809600830078)
(0, 17, {'colsample_bytree': 0.7865129348100832, 'learning_rate': 0.011053773093746777, 'max_bin': 16, 'max_depth': 2, 'n_estimators': 1000, 'reg_alpha': 1.70885521776992, 'reg_lambda': 2.1112118378697486}, -2.899414022198682, 0.3409156799316406)
(0, 18, {'colsample_bytree': 0.48847643704852867, 'learning_rate': 0.21764403099102203, 'max_bin': 16, 'max_depth': 5, 'n_estimators': 5000, 'reg_alpha': 1.776125793815517, 'reg_lambda': 1.71675571737262}, -1.1612374255509947, 4.282158136367798)
(0, 19, {'colsample_bytree': 0.4230816326406183, 'learning_rate': 0.4773745057584925, 'max_bin': 1024, 'max_depth': 2, 'n_estimators': 100, 'reg_alpha': 2.935712785262151, 'reg_lambda': 0.3486057288371832}, -1.3831291982668314, 0.05225181579589844)
(0, 20, {'colsample_bytree': 0.9670237035587268, 'learning_rate': 0.20691006948242235, 'max_bin': 128, 'max_depth': 2, 'n_estimators': 100, 'reg_alpha': 1.743818617907576, 'reg_lambda': 2.6452060855645585}, -1.4402695365760358, 0.04230141639709473)
(0, 21, {'colsample_bytree': 0.892531590077766, 'learning_rate': 0.36362713990982026, 'max_bin': 1024, 'max_depth': 5, 'n_estimators': 1000, 'reg_alpha': 1.1846078803506874, 'reg_lambda': 1.8564256937740713}, -0.6316172427338969, 1.0866739749908447)
(0, 22, {'colsample_bytree': 0.6748675154089421, 'learning_rate': 0.23606609462788258, 'max_bin': 512, 'max_depth': 2, 'n_estimators': 100, 'reg_alpha': 1.8540462869965246, 'reg_lambda': 1.2863061028372984}, -1.437276778466337, 0.04865097999572754)
(0, 23, {'colsample_bytree': 0.33547406422245024, 'learning_rate': 0.15014116297801539, 'max_bin': 512, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 1.7229757465487365, 'reg_lambda': 1.9596024595714008}, -0.7116193753806939, 0.6700382232666016)
(0, 24, {'colsample_bytree': 0.8521032700016888, 'learning_rate': 0.21670921771698698, 'max_bin': 128, 'max_depth': 4, 'n_estimators': 100, 'reg_alpha': 1.3075947757968804, 'reg_lambda': 2.675770065047016}, -0.6986882320739171, 0.0696878433227539)
(0, 25, {'colsample_bytree': 1.0061939890460858, 'learning_rate': 0.35294429177018316, 'max_bin': 16, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 1.056934983601599, 'reg_lambda': 1.4077475219707263}, -1.0594690648606697, 0.08610081672668457)
(0, 26, {'colsample_bytree': 1.0411401297855996, 'learning_rate': 0.4533238721047567, 'max_bin': 16, 'max_depth': 4, 'n_estimators': 5000, 'reg_alpha': 1.8466786928515324, 'reg_lambda': 0.37145994854832454}, -1.151163498116761, 3.15307354927063)
(0, 27, {'colsample_bytree': 1.0480082293222344, 'learning_rate': 0.40465947936250535, 'max_bin': 512, 'max_depth': 5, 'n_estimators': 5000, 'reg_alpha': 0.0996671557985318, 'reg_lambda': 2.947724879475581}, -0.6242501125294256, 5.170704126358032)
(0, 28, {'colsample_bytree': 0.5732907507832548, 'learning_rate': 0.21103768489530533, 'max_bin': 64, 'max_depth': 6, 'n_estimators': 5000, 'reg_alpha': 2.9265645150086574, 'reg_lambda': 2.567410027177833}, -0.6755669007724224, 5.178196430206299)
(0, 29, {'colsample_bytree': 0.21171408418500198, 'learning_rate': 0.18098903223918195, 'max_bin': 512, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 1.0182114583485558, 'reg_lambda': 1.468646810673281}, -2.492543056862053, 0.059766292572021484)
(0, 30, {'colsample_bytree': 0.5389851167797783, 'learning_rate': 0.09074513045892785, 'max_bin': 16, 'max_depth': 5, 'n_estimators': 2000, 'reg_alpha': 0.6717740641811404, 'reg_lambda': 1.036055042090708}, -1.1116013263888889, 1.6953790187835693)
